Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-03-17,77.116,77.444,76.817,77.213,1107400,0.0,0.0
2017-03-20,77.213,77.213,76.46,76.586,867500,0.0,0.0
2017-03-21,76.972,77.02,75.418,75.496,997100,0.0,0.0
2017-03-22,75.534,76.538,75.457,76.287,597700,0.0,0.0
2017-03-23,76.046,77.03,75.824,76.161,1014500,0.0,0.0
2017-03-24,76.47,76.673,75.515,75.66,1567900,0.0,0.0
2017-03-27,74.975,75.631,74.589,75.37,1366000,0.0,0.0
2017-03-28,75.361,76.325,74.946,75.978,1079800,0.0,0.0
2017-03-29,75.978,76.402,75.708,76.055,858700,0.0,0.0
2017-03-30,77.242,78.757,76.518,77.859,2143200,0.0,0.0
2017-03-31,77.28,78.245,77.271,77.84,1357900,0.0,0.0
2017-04-03,78.014,78.081,76.306,76.538,1404400,0.0,0.0
2017-04-04,76.171,76.528,75.264,75.592,1299900,0.0,0.0
2017-04-05,75.65,76.123,74.83,75.013,864400,0.0,0.0
2017-04-06,74.936,75.64,74.762,75.341,687200,0.0,0.0
2017-04-07,75.245,75.708,74.994,75.187,626900,0.0,0.0
2017-04-10,75.061,75.582,74.733,74.772,756600,0.0,0.0
2017-04-11,74.772,74.955,73.904,74.955,926200,0.0,0.0
2017-04-12,75.023,75.225,73.778,74.782,703300,0.0,0.0
2017-04-13,74.473,75.621,74.319,74.811,1065000,0.0,0.0
2017-04-17,74.907,75.833,74.907,75.814,700000,0.0,0.0
2017-04-18,75.457,76.287,75.418,76.219,692800,0.0,0.0
2017-04-19,76.19,76.731,75.997,76.171,832700,0.0,0.0
2017-04-20,76.47,78.226,76.036,78.139,1658100,0.0,0.0
2017-04-21,78.139,78.834,77.444,78.014,1603100,0.0,0.0
2017-04-24,78.699,79.007,78.129,78.525,1172500,0.0,0.0
2017-04-25,78.679,79.471,78.322,79.094,1282800,0.0,0.0
2017-04-26,79.094,79.123,78.207,78.554,923500,0.0,0.0
2017-04-27,78.544,79.229,78.371,79.085,1071200,0.0,0.0
2017-04-28,78.834,79.345,77.946,78.882,1777600,0.0,0.0
2017-05-01,79.017,79.143,78.564,78.631,1107800,0.0,0.0
