Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-04-11,69.391,69.594,68.79,69.545,14690500,0.0,0.0
2017-04-12,69.707,69.723,68.977,69.277,14730600,0.0,0.0
2017-04-13,69.358,70.567,68.466,68.466,30529800,0.0,0.0
2017-04-17,68.498,69.829,68.442,69.65,19071700,0.0,0.0
2017-04-18,69.245,69.464,68.742,69.083,14127000,0.0,0.0
2017-04-19,69.358,69.699,68.434,68.515,17588500,0.0,0.0
2017-04-20,68.937,69.585,68.588,69.399,15635800,0.0,0.0
2017-04-21,69.358,69.504,68.555,68.563,19820600,0.0,0.0
2017-04-24,70.21,71.427,70.105,70.981,25468300,0.0,0.0
2017-04-25,71.832,72.303,71.597,71.597,18253800,0.0,0.0
2017-04-26,71.67,72.238,71.5,71.735,12832200,0.0,0.0
2017-04-27,71.686,71.686,70.583,71.07,13329000,0.0,0.0
2017-04-28,71.062,71.265,70.535,70.575,10755600,0.0,0.0
2017-05-01,70.867,71.175,70.218,70.624,15712300,0.0,0.0
2017-05-02,70.34,70.478,69.78,70.17,14414200,0.0,0.0
2017-05-03,69.813,70.656,69.78,70.575,11540500,0.0,0.0
2017-05-04,71.135,71.167,70.226,70.656,11540100,0.0,0.0
2017-05-05,70.778,70.851,70.105,70.575,9436000,0.0,0.0
2017-05-08,70.608,70.835,70.291,70.656,8162200,0.0,0.0
2017-05-09,70.786,71.257,70.17,70.372,10273900,0.0,0.0
2017-05-10,70.194,70.965,70.145,70.924,8334900,0.0,0.0
2017-05-11,70.648,70.965,70.048,70.705,10907400,0.0,0.0
2017-05-12,70.316,70.616,70.04,70.51,8738800,0.0,0.0
2017-05-15,70.656,70.973,70.462,70.851,8835600,0.0,0.0
2017-05-16,70.867,71.459,70.851,71.07,9795000,0.0,0.0
2017-05-17,71.07,71.07,68.117,68.361,24679700,0.0,0.0
2017-05-18,68.198,68.79,67.622,68.109,23350100,0.0,0.0
2017-05-19,68.312,69.229,68.263,68.774,13412900,0.0,0.0
2017-05-22,69.099,69.188,68.312,68.709,11636000,0.0,0.0
2017-05-23,68.75,69.821,68.555,69.569,11753000,0.0,0.0
2017-05-24,69.667,69.74,69.147,69.529,9833800,0.0,0.0
2017-05-25,69.756,69.829,69.018,69.237,12238500,0.0,0.0
2017-05-26,69.042,69.407,68.969,69.245,8113500,0.0,0.0
2017-05-30,69.058,69.074,67.963,68.06,12603200,0.0,0.0
2017-05-31,67.922,67.996,66.227,66.641,28327900,0.0,0.0
2017-06-01,66.892,67.395,66.235,67.379,17123500,0.0,0.0
2017-06-02,66.754,67.322,66.503,67.038,14998500,0.0,0.0
2017-06-05,67.038,67.744,66.99,67.16,9080200,0.0,0.0
2017-06-06,66.754,67.509,66.625,67.298,12196800,0.0,0.0
2017-06-07,67.582,68.231,67.411,68.069,13711100,0.0,0.0
2017-06-08,68.069,69.545,68.052,68.912,17951000,0.0,0.0
2017-06-09,69.366,70.616,69.269,70.543,19120200,0.0,0.0
2017-06-12,70.543,71.175,70.486,70.559,16053400,0.0,0.0
2017-06-13,71.021,71.265,70.559,70.794,12557200,0.0,0.0
2017-06-14,70.389,70.827,69.618,70.648,16175700,0.0,0.0
2017-06-15,69.967,70.64,69.959,70.226,12509700,0.0,0.0
