Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-03-31,56.297,57.091,56.251,56.778,1176000,0.0,0.0
2017-04-03,57.251,58.03,56.9,57.656,1379400,0.0,0.0
2017-04-04,57.587,58.503,57.465,58.114,1109800,0.0,0.0
2017-04-05,58.121,59.129,57.999,59.06,997600,0.0,0.0
2017-04-06,59.029,59.533,58.724,59.297,686200,0.0,0.0
2017-04-07,59.335,59.64,59.022,59.587,834100,0.0,0.0
2017-04-10,59.594,60.174,59.335,60.128,768600,0.0,0.0
2017-04-11,60.128,60.67,59.922,60.052,565800,0.0,0.0
2017-04-12,59.831,60.075,59.167,59.48,1377500,0.0,0.0
2017-04-13,59.564,59.716,59.159,59.609,824700,0.0,0.0
2017-04-17,59.892,61.403,59.8,61.388,1129000,0.0,0.0
2017-04-18,61.06,61.846,61.044,61.67,586400,0.0,0.0
2017-04-19,61.724,61.983,61.281,61.418,455000,0.0,0.0
2017-04-20,61.586,61.586,61.105,61.533,876000,0.0,0.0
2017-04-21,61.479,61.968,61.243,61.418,1142600,0.0,0.0
2017-04-24,61.457,61.823,59.854,60.251,1912700,0.0,0.0
2017-04-25,60.396,60.632,59.701,59.976,1201300,0.0,0.0
2017-04-26,60.029,60.441,59.632,60.274,1229600,0.0,0.0
2017-04-27,60.274,60.869,57.808,58.045,1379800,0.0,0.0
2017-04-28,57.732,58.075,56.869,57.648,1343500,0.0,0.0
2017-05-01,57.793,57.885,57.106,57.572,1096200,0.0,0.0
2017-05-02,57.617,57.709,55.915,56.129,1692700,0.0,0.0
2017-05-03,56.328,56.495,55.381,55.587,994500,0.0,0.0
2017-05-04,55.488,56.022,54.526,55.954,957300,0.0,0.0
2017-05-05,56.03,56.48,55.709,56.015,644400,0.0,0.0
2017-05-08,56.198,56.244,55.45,55.877,627500,0.0,0.0
2017-05-09,55.87,56.259,55.457,55.824,790600,0.0,0.0
2017-05-10,55.839,56.602,55.694,55.831,661800,0.0,0.0
2017-05-11,55.717,55.77,55.29,55.343,1941600,0.0,0.0
2017-05-12,55.48,55.564,55.16,55.274,1136300,0.0,0.0
2017-05-15,55.274,56.259,55.145,55.908,1222600,0.0,0.0
2017-05-16,55.938,55.938,54.45,54.793,1716100,0.0,0.0
2017-05-17,54.801,57.549,54.763,57.45,2188700,0.0,0.0
2017-05-18,57.419,60.403,57.022,57.93,1512300,0.0,0.0
2017-05-19,58.052,58.778,57.556,58.381,2359300,0.0,0.0
2017-05-22,58.762,59.342,58.457,59.182,1671700,0.0,0.0
2017-05-23,59.182,59.671,58.991,59.442,998200,0.0,0.0
2017-05-24,59.472,60.128,59.464,60.06,953600,0.0,0.0
2017-05-25,60.212,60.983,59.907,60.327,1914100,0.0,0.0
2017-05-26,60.182,60.403,59.029,59.533,868400,0.0,0.0
2017-05-30,59.518,59.854,58.862,58.9,875900,0.0,0.0
2017-05-31,58.808,59.289,58.808,59.129,1554000,0.0,0.0
2017-06-01,59.045,59.075,57.106,57.831,1460700,0.0,0.0
2017-06-02,58.091,58.694,57.801,58.358,1285600,0.0,0.0
2017-06-05,58.175,58.297,57.213,57.762,489600,0.0,0.0
2017-06-06,57.907,57.999,56.785,56.847,613600,0.0,0.0
2017-06-07,56.847,57.885,56.694,57.877,735800,0.0,0.0
2017-06-08,57.877,57.907,56.663,57.373,657400,0.0,0.0
2017-06-09,57.129,57.48,56.763,56.877,692800,0.0,0.0
2017-06-12,56.686,57.602,56.686,57.587,973000,0.0,0.0
2017-06-13,57.533,58.026,57.302,57.996,734700,0.78,0.0
2017-06-14,58.512,58.651,57.548,58.15,869900,0.0,0.0
2017-06-15,58.15,59.399,58.15,59.222,655600,0.0,0.0
2017-06-16,59.314,60.595,58.898,60.541,1533800,0.0,0.0
2017-06-19,60.379,60.672,59.592,60.093,1102400,0.0,0.0
2017-06-20,60.109,60.618,59.43,60.379,713900,0.0,0.0
2017-06-21,60.448,60.679,60.024,60.224,774200,0.0,0.0
2017-06-22,60.062,60.062,59.245,59.623,614600,0.0,0.0
2017-06-23,59.739,61.088,59.461,60.733,1117100,0.0,0.0
2017-06-26,60.919,61.219,60.371,60.741,498900,0.0,0.0
2017-06-27,60.464,60.942,60.332,60.394,700800,0.0,0.0
2017-06-28,60.541,60.749,60.116,60.116,971200,0.0,0.0
2017-06-29,59.523,60.248,59.338,59.793,796800,0.0,0.0
2017-06-30,59.885,60.564,59.484,60.155,995700,0.0,0.0
2017-07-03,60.641,61.212,59.854,60.533,745500,0.0,0.0
2017-07-05,60.471,60.556,59.384,59.685,922500,0.0,0.0
2017-07-06,59.569,59.646,58.466,58.543,1197900,0.0,0.0
2017-07-07,58.69,59.438,58.412,59.021,712100,0.0,0.0
2017-07-10,59.029,59.214,57.633,57.656,1161700,0.0,0.0
2017-07-11,57.849,57.849,56.839,57.17,1037200,0.0,0.0
2017-07-12,57.571,58.482,57.571,58.173,828700,0.0,0.0
2017-07-13,58.219,58.728,58.104,58.281,792100,0.0,0.0
2017-07-14,58.705,59.206,58.674,59.137,864400,0.0,0.0
2017-07-17,59.091,59.978,59.075,59.692,1361100,0.0,0.0
2017-07-18,59.631,60.024,59.037,59.754,1289700,0.0,0.0
2017-07-19,59.8,60.88,59.577,60.764,1896900,0.0,0.0
2017-07-20,60.348,60.834,59.808,60.332,1042300,0.0,0.0
2017-07-21,60.248,60.98,60.24,60.903,668700,0.0,0.0
2017-07-24,60.926,61.05,60.271,60.649,883400,0.0,0.0
2017-07-25,60.618,61.327,60.271,61.296,1281200,0.0,0.0
2017-07-26,61.389,62.515,61.227,61.929,1562000,0.0,0.0
2017-07-27,60.926,60.926,58.443,58.998,2452300,0.0,0.0
2017-07-28,58.998,60.132,58.921,60.093,1621000,0.0,0.0
2017-07-31,60.086,61.744,59.646,61.312,3215800,0.0,0.0
2017-08-01,61.466,61.751,60.425,61.15,1278000,0.0,0.0
2017-08-02,62.045,63.649,60.849,61.127,2381800,0.0,0.0
2017-08-03,60.803,60.988,58.867,59.553,1888800,0.0,0.0
2017-08-04,59.507,60.124,59.392,59.962,890800,0.0,0.0
2017-08-07,59.993,60.633,59.631,60.055,1103700,0.0,0.0
2017-08-08,59.885,60.371,59.183,59.384,935000,0.0,0.0
2017-08-09,59.461,59.492,58.96,59.068,1070100,0.0,0.0
2017-08-10,58.967,59.083,58.512,58.79,1084600,0.0,0.0
2017-08-11,58.913,58.967,58.281,58.852,993400,0.0,0.0
2017-08-14,59.021,59.461,58.829,59.284,673600,0.0,0.0
2017-08-15,59.199,59.361,58.782,59.075,1176400,0.0,0.0
2017-08-16,59.322,59.592,58.304,58.512,1461200,0.0,0.0
2017-08-17,58.605,59.276,58.397,58.759,878000,0.0,0.0
2017-08-18,58.682,58.798,57.625,57.641,858800,0.0,0.0
2017-08-21,57.649,58.32,57.41,58.242,880900,0.0,0.0
2017-08-22,58.389,58.605,57.957,58.474,435300,0.0,0.0
2017-08-23,58.435,60.016,58.389,59.893,678400,0.0,0.0
2017-08-24,59.947,60.425,59.654,59.793,877300,0.0,0.0
2017-08-25,60.055,60.132,59.191,59.307,493800,0.0,0.0
2017-08-28,59.376,59.708,59.014,59.592,595800,0.0,0.0
2017-08-29,59.762,60.309,59.561,60.217,670600,0.0,0.0
2017-08-30,59.916,60.17,58.89,59.839,807500,0.0,0.0
2017-08-31,59.985,60.317,59.7,59.87,1159400,0.0,0.0
2017-09-01,59.939,60.525,59.685,59.985,573400,0.0,0.0
2017-09-05,60.039,60.479,59.661,60.464,892900,0.0,0.0
2017-09-06,60.541,61.62,60.332,61.227,1041600,0.0,0.0
2017-09-07,61.412,63.186,61.212,62.654,1351700,0.0,0.0
2017-09-08,62.461,64.189,62.291,63.433,1283200,0.0,0.0
2017-09-11,62.631,62.631,61.011,61.489,1558600,0.0,0.0
2017-09-12,61.343,61.35,59.654,59.746,1021500,0.0,0.0
2017-09-13,59.831,60.109,59.5,59.908,823100,0.0,0.0
2017-09-14,59.986,61.264,59.737,61.053,715500,0.78,0.0
2017-09-15,60.952,61.677,60.952,61.599,1142300,0.0,0.0
2017-09-18,61.607,61.973,61.326,61.856,695700,0.0,0.0
2017-09-19,61.856,62.004,61.49,61.887,1063300,0.0,0.0
2017-09-20,61.965,62.277,61.614,61.903,1018800,0.0,0.0
2017-09-21,61.942,62.378,61.7,61.809,466000,0.0,0.0
2017-09-22,61.957,62.097,61.349,61.459,420700,0.0,0.0
2017-09-25,61.521,62.199,61.388,62.082,626900,0.0,0.0
2017-09-26,62.113,62.113,61.77,61.832,551000,0.0,0.0
2017-09-27,61.583,61.762,60.493,60.796,657500,0.0,0.0
2017-09-28,60.851,61.661,60.547,61.607,490300,0.0,0.0
2017-09-29,61.435,62.378,61.412,62.261,1250400,0.0,0.0
2017-10-02,62.495,62.643,61.646,62.012,1312600,0.0,0.0
2017-10-03,62.09,62.261,61.186,61.56,691500,0.0,0.0
2017-10-04,61.568,62.051,61.131,62.012,861700,0.0,0.0
2017-10-05,62.144,62.705,61.879,62.682,708900,0.0,0.0
2017-10-06,62.347,62.643,61.723,62.619,1069300,0.0,0.0
2017-10-09,62.721,62.721,62.129,62.339,577000,0.0,0.0
2017-10-10,62.432,62.853,62.238,62.479,566700,0.0,0.0
2017-10-11,62.534,62.783,62.386,62.767,1010100,0.0,0.0
2017-10-12,62.845,63.578,62.822,63.578,1190000,0.0,0.0
