Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,140.166,141.748,138.295,140.531,320900,0.0,0.0
2017-01-04,140.999,144.621,140.99,143.095,322800,0.0,0.0
2017-01-05,142.656,143.732,141.767,142.899,243400,0.0,0.0
2017-01-06,148.354,148.86,146.137,147.054,463200,0.0,0.0
2017-01-09,146.82,147.568,145.126,146.717,174000,0.0,0.0
2017-01-10,146.099,146.885,143.863,146.034,215500,0.0,0.0
2017-01-11,146.445,147.306,144.864,146.904,194200,0.0,0.0
2017-01-12,146.417,146.651,144.77,146.305,155700,0.0,0.0
2017-01-13,147.007,149.664,145.369,146.773,189600,0.0,0.0
2017-01-17,145.903,147.578,144.059,145.519,171900,0.0,0.0
2017-01-18,146.249,147.222,145.341,146.455,132900,0.0,0.0
2017-01-19,146.23,146.558,144.536,145.257,145000,0.0,0.0
2017-01-20,145.341,147.194,145.341,146.81,178100,0.0,0.0
2017-01-23,146.586,149.187,145.032,145.407,167500,0.0,0.0
2017-01-24,145.931,149.019,144.134,148.186,218100,0.0,0.0
2017-01-25,159.696,166.564,155.335,164.683,616000,0.0,0.0
2017-01-26,165.619,171.112,165.207,168.819,456900,0.0,0.0
2017-01-27,169.409,170.129,166.658,168.267,274800,0.0,0.0
2017-01-30,168.426,169.83,166.63,169.69,209700,0.0,0.0
2017-01-31,171.683,176.736,171.683,175.22,503800,0.0,0.0
2017-02-01,178.065,178.065,174.518,176.053,357700,0.0,0.0
2017-02-02,175.716,177.887,173.947,176.015,270400,0.0,0.0
2017-02-03,177.475,179.019,175.051,178.982,225100,0.0,0.0
2017-02-06,179.141,179.141,176.876,178.055,197100,0.0,0.0
2017-02-07,178.139,181.964,177.193,177.483,265600,0.33,0.0
2017-02-08,176.846,177.755,174.193,175.73,234300,0.0,0.0
2017-02-09,176.077,177.605,174.887,176.537,229100,0.0,0.0
2017-02-10,176.855,177.118,174.756,175.121,161300,0.0,0.0
2017-02-13,175.271,178.411,175.271,177.915,226900,0.0,0.0
2017-02-14,177.052,178.318,175.515,178.168,176400,0.0,0.0
2017-02-15,178.083,179.967,176.237,179.686,122000,0.0,0.0
2017-02-16,179.508,181.355,178.158,179.677,83000,0.0,0.0
2017-02-17,179.461,181.327,178.243,180.989,126200,0.0,0.0
2017-02-21,181.505,183.005,179.827,180.67,195700,0.0,0.0
2017-02-22,180.333,182.93,180.23,182.808,146200,0.0,0.0
2017-02-23,182.545,183.286,180.774,182.648,176400,0.0,0.0
2017-02-24,181.664,183.998,181.139,183.895,172500,0.0,0.0
2017-02-27,184.57,184.72,179.171,182.78,286200,0.0,0.0
2017-02-28,183.098,184.298,180.483,183.005,234300,0.0,0.0
2017-03-01,184.148,188.319,181.739,185.357,235800,0.0,0.0
2017-03-02,184.626,185.423,179.771,179.93,167000,0.0,0.0
2017-03-03,180.595,183.67,178.486,181.711,276800,0.0,0.0
2017-03-06,180.774,183.651,179.808,180.727,145000,0.0,0.0
2017-03-07,180.83,182.63,179.283,180.483,126800,0.0,0.0
2017-03-08,180.183,181.852,178.88,179.011,118500,0.0,0.0
2017-03-09,178.993,180.717,178.514,180.08,108600,0.0,0.0
2017-03-10,180.98,182.02,179.067,179.508,106100,0.0,0.0
2017-03-13,179.489,180.905,178.749,179.677,110700,0.0,0.0
2017-03-14,178.749,180.145,177.952,179.264,108600,0.0,0.0
2017-03-15,179.789,180.811,178.243,179.152,121500,0.0,0.0
2017-03-16,179.705,180.792,178.543,178.833,138500,0.0,0.0
2017-03-17,178.73,179.096,177.718,178.149,263800,0.0,0.0
2017-03-20,177.924,180.436,177.352,177.943,94200,0.0,0.0
2017-03-21,178.083,178.111,172.684,172.881,128200,0.0,0.0
2017-03-22,172.656,179.433,172.656,176.18,144500,0.0,0.0
2017-03-23,176.462,179.733,175.102,175.29,95000,0.0,0.0
2017-03-24,175.309,177.427,174.962,175.946,77300,0.0,0.0
2017-03-27,173.453,174.484,170.434,173.406,216800,0.0,0.0
2017-03-28,173.518,176.537,171.231,174.268,300500,0.0,0.0
2017-03-29,174.006,174.484,171.531,173.518,172400,0.0,0.0
2017-03-30,174.006,174.971,171.822,174.296,119300,0.0,0.0
2017-03-31,173.415,176.968,172.337,175.749,256400,0.0,0.0
2017-04-03,175.374,178.749,174.746,175.43,151000,0.0,0.0
2017-04-04,175.168,176.218,173.331,174.231,163400,0.0,0.0
2017-04-05,176.227,178.786,166.516,168.822,415300,0.0,0.0
2017-04-06,168.475,171.165,167.66,170.172,221200,0.0,0.0
2017-04-07,169.009,172.215,169.009,171.287,122900,0.0,0.0
2017-04-10,172.328,172.843,170.172,171.784,115300,0.0,0.0
2017-04-11,171.634,172.14,169.975,171.484,133600,0.0,0.0
2017-04-12,171.812,172.253,169.047,169.497,122600,0.0,0.0
2017-04-13,169.562,171.531,166.76,166.919,127900,0.0,0.0
2017-04-17,166.919,171.512,166.497,171.259,129100,0.0,0.0
2017-04-18,170.397,172.375,169.206,171.597,171200,0.0,0.0
2017-04-19,173.012,173.021,170.678,171.531,79200,0.0,0.0
2017-04-20,172.525,173.856,170.922,173.696,80000,0.0,0.0
2017-04-21,173.509,173.64,171.69,173.04,93000,0.0,0.0
2017-04-24,175.965,175.965,171.934,173.987,134000,0.0,0.0
2017-04-25,174.868,175.815,172.553,173.106,116100,0.0,0.0
2017-04-26,176.18,185.329,175.187,182.367,270400,0.0,0.0
2017-04-27,182.817,185.357,182.667,183.614,220000,0.0,0.0
2017-04-28,183.07,183.858,179.142,180.464,168100,0.0,0.0
2017-05-01,181.402,181.927,178.552,180.089,154600,0.0,0.0
2017-05-02,179.611,179.649,176.865,177.511,159700,0.0,0.0
2017-05-03,177.765,178.261,172.721,175.14,187400,0.0,0.0
2017-05-04,175.374,176.452,172.028,174.821,167700,0.0,0.0
2017-05-05,175.102,176.415,173.237,176.077,160300,0.0,0.0
2017-05-08,175.149,175.937,172.675,174.362,184500,0.0,0.0
2017-05-09,174.014,176.343,174.014,175.169,143400,0.33,0.0
2017-05-10,174.878,177.62,174.475,176.691,208300,0.0,0.0
2017-05-11,176.334,177.404,173.179,176.85,179300,0.0,0.0
2017-05-12,175.724,176.606,174.653,175.029,132900,0.0,0.0
2017-05-15,176.071,178.512,176.005,176.907,148800,0.0,0.0
2017-05-16,176.512,178.409,172.606,173.46,179600,0.0,0.0
2017-05-17,171.31,174.503,170.671,171.225,190700,0.0,0.0
2017-05-18,170.596,172.221,169.028,170.953,126100,0.0,0.0
